X,Y,Z,formation
0,0,-60,Muschelkalk_sequence1
0,2000,-60,Muschelkalk_sequence1
2000,0,-60,Muschelkalk_sequence1
2000,2000,-60,Muschelkalk_sequence1
0,0,-150,Muschelkalk_sequence2
0,2000,-150,Muschelkalk_sequence2
2000,0,-150,Muschelkalk_sequence2
2000,2000,-150,Muschelkalk_sequence2
0,0,-250,Buntsandstein-Upper
0,2000,-250,Buntsandstein-Upper
2000,0,-250,Buntsandstein-Upper
2000,2000,-250,Buntsandstein-Upper
0,0,-340,Buntsandstein-Middle
0,2000,-340,Buntsandstein-Middle
2000,0,-340,Buntsandstein-Middle
2000,2000,-340,Buntsandstein-Middle
0,0,-450,Buntsandstein-Lower
0,2000,-450,Buntsandstein-Lower
2000,0,-450,Buntsandstein-Lower
2000,2000,-450,Buntsandstein-Lower
0,0,-650,Rock_salt_sequence1
0,2000,-650,Rock_salt_sequence1
2000,0,-650,Rock_salt_sequence1
2000,2000,-650,Rock_salt_sequence1
0,0,-690,Anhydrite_sequence1
0,2000,-690,Anhydrite_sequence1
2000,0,-690,Anhydrite_sequence1
2000,2000,-690,Anhydrite_sequence1
0,0,-720,Potash
0,2000,-720,Potash
2000,0,-720,Potash
2000,2000,-720,Potash
0,0,-860,Rock_salt_sequence2
0,2000,-860,Rock_salt_sequence2
2000,0,-860,Rock_salt_sequence2
2000,2000,-860,Rock_salt_sequence2
0,0,-890,Anhydrite_sequence2
0,2000,-890,Anhydrite_sequence2
2000,0,-890,Anhydrite_sequence2
2000,2000,-890,Anhydrite_sequence2
0,0,-910,Granite_weathered
0,2000,-910,Granite_weathered
2000,0,-910,Granite_weathered
2000,2000,-910,Granite_weathered
0,0,-1200,Granite
0,2000,-1200,Granite
2000,0,-1200,Granite
2000,2000,-1200,Granite
