X,Y,Z,formation
0,0,-70,Quaternary
2000,0,-70,Quaternary
0,2000,-70,Quaternary
1000,1000,-70,Quaternary
2000,2000,-70,Quaternary
0,0,-160,Tertiary
2000,0,-170,Tertiary
0,2000,-160,Tertiary
1000,1000,-165,Tertiary
2000,2000,-170,Tertiary
0,0,-165,Bunter-Middle
2000,0,-225,Bunter-Middle
0,2000,-165,Bunter-Middle
1000,1000,-192.5,Bunter-Middle
2000,2000,-225,Bunter-Middle
0,0,-275,Bunter-Lower
2000,0,-340,Bunter-Lower
0,2000,-275,Bunter-Lower
1000,1000,-307.5,Bunter-Lower
2000,2000,-340,Bunter-Lower
0,0,-335,Aller-Steinsalz
2000,0,-400,Aller-Steinsalz
0,2000,-335,Aller-Steinsalz
1000,1000,-367.5,Aller-Steinsalz
2000,2000,-400,Aller-Steinsalz
0,0,-443,Anhydritmittelsalz
2000,0,-508,Anhydritmittelsalz
0,2000,-443,Anhydritmittelsalz
1000,1000,-475.5,Anhydritmittelsalz
2000,2000,-508,Anhydritmittelsalz
0,0,-483,Leine-Steinsalz
2000,0,-548,Leine-Steinsalz
0,2000,-483,Leine-Steinsalz
2000,2000,-548,Leine-Steinsalz
0,0,-528,Hauptanhydrit
2000,0,-593,Hauptanhydrit
0,2000,-528,Hauptanhydrit
1000,1000,-560.5,Hauptanhydrit
2000,2000,-593,Hauptanhydrit
0,0,-578,Kalifloez
2000,0,-643,Kalifloez
0,2000,-578,Kalifloez
1000,1000,-610.5,Kalifloez
2000,2000,-643,Kalifloez
0,0,-778,Strassfurt-Steinsalz
2000,0,-893,Strassfurt-Steinsalz
0,2000,-778,Strassfurt-Steinsalz
1000,1000,-835.5,Strassfurt-Steinsalz
2000,2000,-893,Strassfurt-Steinsalz
0,0,-828,Anhydrite_Carbonate
2000,0,-943,Anhydrite_Carbonate
0,2000,-828,Anhydrite_Carbonate
1000,1000,-885.5,Anhydrite_Carbonate
2000,2000,-943,Anhydrite_Carbonate
0,0,-928,Rotliegend
2000,0,-999,Rotliegend
0,2000,-928,Rotliegend
1000,1000,-985.5,Rotliegend
2000,2000,-999,Rotliegend
