X,Y,Z,formation
0,0,-50,Tertiary
0,2000,-50,Tertiary
2000,0,-150,Tertiary
2000,2000,-150,Tertiary
0,0,-300,Tithonian
0,2000,-300,Tithonian
2000,0,-375,Tithonian
2000,2000,-375,Tithonian
0,0,-350,Kimmeridgian
0,2000,-350,Kimmeridgian
2000,0,-425,Kimmeridgian
2000,2000,-425,Kimmeridgian
0,0,-500,Oxfordian
0,2000,-500,Oxfordian
2000,0,-575,Oxfordian
2000,2000,-575,Oxfordian
0,0,-530,Bathonian
0,2000,-530,Bathonian
2000,0,-605,Bathonian
2000,2000,-605,Bathonian
0,0,-580,Bajocian
0,2000,-580,Bajocian
2000,0,-655,Bajocian
2000,2000,-655,Bajocian
0,0,-710,Opalinus_Clay
0,2000,-710,Opalinus_Clay
2000,0,-775,Opalinus_Clay
2000,2000,-775,Opalinus_Clay
0,0,-760,Pliensbachian
0,2000,-760,Pliensbachian
2000,0,-825,Pliensbachian
2000,2000,-825,Pliensbachian
0,0,-780,Sinemurian
0,2000,-780,Sinemurian
2000,0,-845,Sinemurian
2000,2000,-845,Sinemurian
0,0,-830,Rhaetian
0,2000,-830,Rhaetian
2000,0,-905,Rhaetian
2000,2000,-905,Rhaetian
0,0,-880,Norian
0,2000,-880,Norian
2000,0,-950,Norian
2000,2000,-950,Norian
0,0,-955,Carnian
0,2000,-955,Carnian
2000,0,-999,Carnian
2000,2000,-999,Carnian
